2026-01-05 18:09:01 | INFO | root | End purification for resolution 1024*1024, loss=0.4142819344997406, iterations=512
2026-01-05 18:09:05 | INFO | root | End purification for resolution 2048*2048, loss=0.42549437284469604, iterations=1024
2026-01-05 18:09:05 | INFO | root | Training time: 9.18768835067749, loss: 0.42549437284469604, params_num: 1175
2026-01-05 18:09:05 | INFO | root | Purified data 24, shape: torch.Size([1, 22, 1750]), mse:0.7636145949363708, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:09:05 | INFO | root | 
2026-01-05 18:09:05 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:09:07 | INFO | root | End purification for resolution 256*256, loss=0.41218268871307373, iterations=256
2026-01-05 18:09:08 | INFO | root | End purification for resolution 512*512, loss=0.3758752644062042, iterations=256
2026-01-05 18:09:10 | INFO | root | End purification for resolution 1024*1024, loss=0.3947254419326782, iterations=512
2026-01-05 18:09:14 | INFO | root | End purification for resolution 2048*2048, loss=0.4021775424480438, iterations=1024
2026-01-05 18:09:14 | INFO | root | Training time: 9.037925481796265, loss: 0.4021775424480438, params_num: 1175
2026-01-05 18:09:15 | INFO | root | Purified data 25, shape: torch.Size([1, 22, 1750]), mse:0.7280855774879456, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:09:15 | INFO | root | 
2026-01-05 18:09:15 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:09:16 | INFO | root | End purification for resolution 256*256, loss=0.41404247283935547, iterations=256
2026-01-05 18:09:17 | INFO | root | End purification for resolution 512*512, loss=0.37878695130348206, iterations=256
2026-01-05 18:09:20 | INFO | root | End purification for resolution 1024*1024, loss=0.38266170024871826, iterations=512
2026-01-05 18:09:24 | INFO | root | End purification for resolution 2048*2048, loss=0.3882921040058136, iterations=1024
2026-01-05 18:09:24 | INFO | root | Training time: 9.231616735458374, loss: 0.3882921040058136, params_num: 1175
