dataset,model,method,attack,scope,rank,metric,seed_count,seeds,status,mean,sample_std
thubenchmark,tsception,ea_forward,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.017531656857499554,0.002343079840751582
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.792454075263064,0.0079064785590119
thubenchmark,tsception,rpcf_at,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.3460567148207598,0.023883451966588257
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.792454075263064,0.0079064785590119
thubenchmark,tsception,rpcf_at,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.46050294275013376,0.01847664687912832
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.792454075263064,0.0079064785590119
thubenchmark,tsception,rpcf_at,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.3690529695024077,0.024205347104589423
thubenchmark,tsception,rpcf_at,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.792454075263064,0.0079064785590119
thubenchmark,tsception,rpcf_at,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.004047619047619047,0.00286704632828388
thubenchmark,atcnet,madry,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9541412520064205,0.004616653099057824
thubenchmark,atcnet,madry,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.8564597824148386,0.013433188406816768
thubenchmark,atcnet,madry,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9541412520064205,0.004616653099057824
thubenchmark,atcnet,madry,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.8670982700196184,0.01688985517282138
thubenchmark,atcnet,madry,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9541412520064205,0.004616653099057824
thubenchmark,atcnet,madry,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.8612912430889959,0.014631730565913414
thubenchmark,atcnet,madry,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9541412520064205,0.004616653099057824
thubenchmark,atcnet,madry,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,atcnet,trades,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9565801676475834,0.005644690532826761
thubenchmark,atcnet,trades,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.787581594435527,0.022942111654533248
thubenchmark,atcnet,trades,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9565801676475834,0.005644690532826761
thubenchmark,atcnet,trades,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.811541822721598,0.021592739258775938
