dataset,model,seed,method,attack,scope,rank,metric,value,artifact
thubenchmark,eegnet,44,rpcf_at,autoattack,full_test,raw,robust,0.7726190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_autoattack.pth
thubenchmark,eegnet,44,rpcf_at,fgsm,full_test,raw,clean,0.925,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_fgsm.pth
thubenchmark,eegnet,44,rpcf_at,fgsm,full_test,raw,robust,0.7928571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_fgsm.pth
thubenchmark,eegnet,44,rpcf_at,pgd,full_test,raw,clean,0.925,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_pgd.pth
thubenchmark,eegnet,44,rpcf_at,pgd,full_test,raw,robust,0.7773809523809524,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_pgd.pth
thubenchmark,eegnet,44,rpcf_at,cw,full_test,raw,clean,0.925,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_cw.pth
thubenchmark,eegnet,44,rpcf_at,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_cw.pth
thubenchmark,eegnet,45,madry,autoattack,full_test,raw,clean,0.9333333333333333,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_autoattack.pth
thubenchmark,eegnet,45,madry,autoattack,full_test,raw,robust,0.7785714285714286,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_autoattack.pth
thubenchmark,eegnet,45,madry,fgsm,full_test,raw,clean,0.9333333333333333,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_fgsm.pth
thubenchmark,eegnet,45,madry,fgsm,full_test,raw,robust,0.7952380952380952,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_fgsm.pth
