2025-11-27 18:23:26 | INFO | root | Epoch: 51, Train Loss: 0.1240, Val Acc: 0.9345, Val Loss: 0.2559, Test Acc: 0.9119, Test Loss: 0.2565, Learning Rate: 0.001000
2025-11-27 18:23:39 | INFO | root | Epoch: 52, Train Loss: 0.1235, Val Acc: 0.9333, Val Loss: 0.2528, Test Acc: 0.9262, Test Loss: 0.2332, Learning Rate: 0.001000
2025-11-27 18:23:55 | INFO | root | Epoch: 53, Train Loss: 0.1180, Val Acc: 0.9238, Val Loss: 0.2574, Test Acc: 0.9250, Test Loss: 0.2373, Learning Rate: 0.001000
2025-11-27 18:24:10 | INFO | root | Epoch: 54, Train Loss: 0.1162, Val Acc: 0.9250, Val Loss: 0.2442, Test Acc: 0.9167, Test Loss: 0.2377, Learning Rate: 0.001000
2025-11-27 18:24:25 | INFO | root | Epoch: 55, Train Loss: 0.1142, Val Acc: 0.9310, Val Loss: 0.2400, Test Acc: 0.9190, Test Loss: 0.2394, Learning Rate: 0.001000
2025-11-27 18:24:42 | INFO | root | Epoch: 56, Train Loss: 0.1091, Val Acc: 0.9369, Val Loss: 0.2421, Test Acc: 0.9333, Test Loss: 0.2305, Learning Rate: 0.001000
2025-11-27 18:24:55 | INFO | root | Epoch: 57, Train Loss: 0.1103, Val Acc: 0.9321, Val Loss: 0.2451, Test Acc: 0.9167, Test Loss: 0.2291, Learning Rate: 0.001000
2025-11-27 18:25:12 | INFO | root | Epoch: 58, Train Loss: 0.1101, Val Acc: 0.9321, Val Loss: 0.2400, Test Acc: 0.9298, Test Loss: 0.2362, Learning Rate: 0.001000
2025-11-27 18:25:28 | INFO | root | Epoch: 59, Train Loss: 0.1091, Val Acc: 0.9298, Val Loss: 0.2427, Test Acc: 0.9214, Test Loss: 0.2379, Learning Rate: 0.001000
2025-11-27 18:25:41 | INFO | root | Epoch: 60, Train Loss: 0.0988, Val Acc: 0.9321, Val Loss: 0.2425, Test Acc: 0.9250, Test Loss: 0.2303, Learning Rate: 0.001000
