section,dataset,model,condition,endpoint,scope,seed,value_pp
main_pgd,seediv,atcnet,ea_forward,PGD,full_test,43,22.257636122177953
main_pgd,seediv,atcnet,ea_forward,PGD,full_test,44,13.97078353253652
main_pgd,seediv,atcnet,ea_forward,PGD,full_test,45,19.46879150066401
main_pgd,seediv,atcnet,ea_forward,PGD,full_test,46,21.142098273572376
main_pgd,seediv,atcnet,RPCF+TNP-r25,PGD,subset_n512,42,29.296875
main_pgd,seediv,atcnet,RPCF+TNP-r25,PGD,subset_n512,43,31.25
main_pgd,seediv,atcnet,RPCF+TNP-r25,PGD,subset_n512,44,31.8359375
main_pgd,seediv,atcnet,RPCF+TNP-r25,PGD,subset_n512,45,33.59375
main_pgd,seediv,atcnet,RPCF+TNP-r25,PGD,subset_n512,46,29.296875
main_pgd,seediv,atcnet,RPCF+TNP-r30,PGD,subset_n512,42,29.4921875
main_pgd,seediv,atcnet,RPCF+TNP-r30,PGD,subset_n512,43,30.078125
main_pgd,seediv,atcnet,RPCF+TNP-r30,PGD,subset_n512,44,31.640625
main_pgd,seediv,atcnet,RPCF+TNP-r30,PGD,subset_n512,45,33.3984375
main_pgd,seediv,atcnet,RPCF+TNP-r30,PGD,subset_n512,46,29.8828125
main_pgd,seediv,conformer,madry,PGD,full_test,42,35.776892430278885
main_pgd,seediv,conformer,madry,PGD,full_test,43,35.484727755644094
main_pgd,seediv,conformer,madry,PGD,full_test,44,33.86454183266932
main_pgd,seediv,conformer,madry,PGD,full_test,45,34.953519256308105
main_pgd,seediv,conformer,madry,PGD,full_test,46,35.776892430278885
main_pgd,seediv,conformer,trades,PGD,full_test,42,26.00265604249668
main_pgd,seediv,conformer,trades,PGD,full_test,43,24.355909694555113
main_pgd,seediv,conformer,trades,PGD,full_test,44,17.768924302788843
main_pgd,seediv,conformer,trades,PGD,full_test,45,17.928286852589643
main_pgd,seediv,conformer,trades,PGD,full_test,46,36.44090305444887
main_pgd,seediv,conformer,fbf,PGD,full_test,42,6.507304116865869
main_pgd,seediv,conformer,fbf,PGD,full_test,43,4.143426294820717
main_pgd,seediv,conformer,fbf,PGD,full_test,44,4.169986719787517
main_pgd,seediv,conformer,fbf,PGD,full_test,45,6.268260292164675
main_pgd,seediv,conformer,fbf,PGD,full_test,46,5.816733067729084
main_pgd,seediv,conformer,ea_forward,PGD,full_test,42,16.759628154050464
main_pgd,seediv,conformer,ea_forward,PGD,full_test,43,20.50464807436919
main_pgd,seediv,conformer,ea_forward,PGD,full_test,44,12.53652058432935
main_pgd,seediv,conformer,ea_forward,PGD,full_test,45,16.706507304116865
main_pgd,seediv,conformer,ea_forward,PGD,full_test,46,19.229747675962816
main_pgd,seediv,conformer,RPCF+TNP-r25,PGD,subset_n512,42,42.96875
main_pgd,seediv,conformer,RPCF+TNP-r25,PGD,subset_n512,43,40.8203125
main_pgd,seediv,conformer,RPCF+TNP-r25,PGD,subset_n512,44,43.5546875
main_pgd,seediv,conformer,RPCF+TNP-r25,PGD,subset_n512,45,46.484375
main_pgd,seediv,conformer,RPCF+TNP-r25,PGD,subset_n512,46,44.140625
main_pgd,seediv,conformer,RPCF+TNP-r30,PGD,subset_n512,42,43.1640625
main_pgd,seediv,conformer,RPCF+TNP-r30,PGD,subset_n512,43,40.625
main_pgd,seediv,conformer,RPCF+TNP-r30,PGD,subset_n512,44,41.9921875
main_pgd,seediv,conformer,RPCF+TNP-r30,PGD,subset_n512,45,46.09375
main_pgd,seediv,conformer,RPCF+TNP-r30,PGD,subset_n512,46,49.609375
main_pgd,seediv,tcnet,madry,PGD,full_test,42,31.95219123505976
main_pgd,seediv,tcnet,madry,PGD,full_test,43,32.56308100929615
main_pgd,seediv,tcnet,madry,PGD,full_test,44,31.79282868525896
main_pgd,seediv,tcnet,madry,PGD,full_test,45,32.191235059760956
main_pgd,seediv,tcnet,madry,PGD,full_test,46,32.40371845949535
main_pgd,seediv,tcnet,trades,PGD,full_test,42,0.4780876494023904
main_pgd,seediv,tcnet,trades,PGD,full_test,43,0.3452855245683931
main_pgd,seediv,tcnet,trades,PGD,full_test,44,0.2390438247011952
main_pgd,seediv,tcnet,trades,PGD,full_test,45,0.8233731739707836
