comparison,dataset,model,method,attack,scope,rank,metric,seed_count,mean_delta_pp,sample_std_pp,positive_seeds
rpcf_minus_madry,seediv,atcnet,rpcf_at,pgd,full_test,raw,robust,5,-0.6374501992031889,0.32257524041145064,0
rpcf_minus_madry,seediv,atcnet,rpcf_at,cw,full_test,raw,clean,5,0.042496679946878446,0.4301641018838913,2
rpcf_minus_madry,seediv,atcnet,rpcf_at,cw,full_test,raw,robust,5,-0.07968127490039839,0.09938001027288024,0
rpcf_minus_madry,seediv,conformer,rpcf_at,autoattack,full_test,raw,clean,5,-1.3811420982735712,0.46271584037674146,0
rpcf_minus_madry,seediv,conformer,rpcf_at,autoattack,full_test,raw,robust,5,-4.770252324037186,1.3577807704500406,0
rpcf_minus_madry,seediv,conformer,rpcf_at,fgsm,full_test,raw,clean,5,-1.3811420982735712,0.46271584037674146,0
rpcf_minus_madry,seediv,conformer,rpcf_at,fgsm,full_test,raw,robust,5,-5.110225763612217,1.5106321964674476,0
rpcf_minus_madry,seediv,conformer,rpcf_at,pgd,full_test,raw,clean,5,-1.3811420982735712,0.46271584037674146,0
rpcf_minus_madry,seediv,conformer,rpcf_at,pgd,full_test,raw,robust,5,-5.779548472775564,1.4933715559713923,0
rpcf_minus_madry,seediv,conformer,rpcf_at,cw,full_test,raw,clean,5,-1.3811420982735712,0.46271584037674146,0
rpcf_minus_madry,seediv,conformer,rpcf_at,cw,full_test,raw,robust,5,-2.5285524568393085,3.8095187075605597,1
rpcf_minus_madry,seediv,tcnet,rpcf_at,autoattack,full_test,raw,clean,5,0.18592297476759612,0.18592297476759748,4
rpcf_minus_madry,seediv,tcnet,rpcf_at,autoattack,full_test,raw,robust,5,-0.1381142098273569,0.1471648890007449,0
rpcf_minus_madry,seediv,tcnet,rpcf_at,fgsm,full_test,raw,clean,5,0.18592297476759612,0.18592297476759748,4
rpcf_minus_madry,seediv,tcnet,rpcf_at,fgsm,full_test,raw,robust,5,-0.11686586985391823,0.21789263534654493,1
rpcf_minus_madry,seediv,tcnet,rpcf_at,pgd,full_test,raw,clean,5,0.18592297476759612,0.18592297476759748,4
rpcf_minus_madry,seediv,tcnet,rpcf_at,pgd,full_test,raw,robust,5,-0.16467463479415634,0.25572600057181233,2
rpcf_minus_madry,seediv,tcnet,rpcf_at,cw,full_test,raw,clean,5,0.18592297476759612,0.18592297476759748,4
rpcf_minus_madry,seediv,tcnet,rpcf_at,cw,full_test,raw,robust,5,0.04780876494023906,0.18247611195025412,2
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,autoattack,full_test,raw,clean,5,-0.19157088122605193,1.2488893496556837,2
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,autoattack,full_test,raw,robust,5,-1.034482758620689,0.6439745714165346,0
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,fgsm,full_test,raw,clean,5,-0.19157088122605193,1.2488893496556837,2
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,fgsm,full_test,raw,robust,5,-1.6858237547892718,1.052768709887671,0
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,pgd,full_test,raw,clean,5,-0.19157088122605193,1.2488893496556837,2
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,pgd,full_test,raw,robust,5,-1.7624521072796928,1.0785968015524314,0
